comm_id,city,district,title,title_1,session,ordinal_no,sitting,date,url
gn0931302,서울특별시,강남구,본회의,임시회,제313회,제9대,제2차,2023.9.7,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7688&mem_sch=all&schwrd=
gn0931301,서울특별시,강남구,본회의,임시회,제313회,제9대,제1차,2023.8.29,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7192&mem_sch=all&schwrd=
gn0931203,서울특별시,강남구,본회의,nan,제312회,제9대,제3차,2023.6.23,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7687&mem_sch=all&schwrd=
gn0931202,서울특별시,강남구,본회의,nan,제312회,제9대,제2차,2023.6.19,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7174&mem_sch=all&schwrd=
gb0931201,서울특별시,강북구,본회의,임시회,제312회,제9대,제1차,2023.6.12,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7170&mem_sch=all&schwrd=
gn0931102,서울특별시,강남구,본회의,임시회,제311회,제9대,제2차,2023.5.1,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7172&mem_sch=all&schwrd=
db0931101,서울특별시,도봉구,본회의,임시회,제311회,제9대,제1차,2023.4.20,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7171&mem_sch=all&schwrd=
gn0931002,서울특별시,강남구,본회의,임시회,제310회,제9대,제2차,2023.3.23,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7156&mem_sch=all&schwrd=
gn0931001,서울특별시,강남구,본회의,임시회,제310회,제9대,제1차,2023.3.16,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7173&mem_sch=all&schwrd=
gn0930902,서울특별시,강남구,본회의,임시회,제309회,제9대,제2차,2023.2.23,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7146&mem_sch=all&schwrd=
db0930901,서울특별시,도봉구,본회의,임시회,제309회,제9대,제1차,2023.2.16,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7145&mem_sch=all&schwrd=
gn0930803,서울특별시,강남구,본회의,정례회,제308회,제9대,제3차,2022.12.19,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7686&mem_sch=all&schwrd=
gn0930802,서울특별시,강남구,본회의,임시회,제308회,제9대,제2차,2022.12.5,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7118&mem_sch=all&schwrd=
gn0930801,서울특별시,강남구,본회의,정례회,제308회,제9대,제1차,2022.11.15,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7117&mem_sch=all&schwrd=
gn0930702,서울특별시,강남구,본회의,임시회,제307회,제9대,제2차,2022.10.20,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7111&mem_sch=all&schwrd=
gn0930701,서울특별시,강남구,본회의,임시회,제307회,제9대,제1차,2022.10.13,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7110&mem_sch=all&schwrd=
gd0930603,서울특별시,강동구,본회의,임시회,제306회,제9대,제3차,2022.9.26,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7098&mem_sch=all&schwrd=
gn0930602,서울특별시,강남구,본회의,nan,제306회,제9대,제2차,2022.9.21,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7097&mem_sch=all&schwrd=
gn0930601,서울특별시,강남구,본회의,정례회,제306회,제9대,제1차,2022.9.15,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7096&mem_sch=all&schwrd=
gn0930502,서울특별시,강남구,본회의,임시회,제305회,제9대,제2차,2022.7.27,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7088&mem_sch=all&schwrd=
gn0930501,서울특별시,강남구,본회의,임시회,제305회,제9대,제1차,2022.7.20,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7087&mem_sch=all&schwrd=
xx0930402,서울특별시,nan,본회의,임시회,제304회,제9대,제2차,2022.7.12,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7852&mem_sch=all&schwrd=
xx0930401,서울특별시,nan,본회의,임시회,제304회,제9대,제1차,2022.7.11,https://www.gncouncil.go.kr/viewer/minutes.do?uid=7084&mem_sch=all&schwrd=
gs0931201,서울특별시,강서구,본회의,임시회,제312회,제9대,제1차,2025.6.2,
gs0931202,서울특별시,강서구,본회의,정례회,제312회,제9대,제2차,2025.6.26,
gs0931101,서울특별시,강서구,본회의,임시회,제311회,제9대,제1차,2025.3.10,
gs0931102,서울특별시,강서구,본회의,임시회,제311회,제9대,제2차,2025.3.17,
gs0931001,서울특별시,강서구,본회의,임시회,제310회,제9대,제1차,2025.2.3,
